year,region_id,road_category_id,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
2014,4,4,2637.39,1638.8,11689551.06,35881047.74,3834408241,50107256.5,661937186.6,144243603.8,4726577335
2015,1,5,3272.77,2033.6,31577004.61,57844115.62,2558106095,20892627.18,502562043.5,59465971.55,3198870853
2002,3,4,7493.01,4655.94,22892760.16,57098026.87,6040231738,126116639.6,822222350.4,342811210.4,7388479965
2018,4,6,26450.7595,16435.74,82264263.84,107960150.8,4243926465,50216994.96,1000424359,72291384.54,5474819354
2008,6,4,1720.1,1068.82,177749761.8,285906889,8365981753,259132081.8,1391901427,413438402.6,10716360553
2010,1,3,734.8,456.58,1398383.751,30038975.82,3109698897,18174271.32,536051837.3,250587614.9,3944551596
2005,2,4,3291.48,2045.23,21084432.26,77319056.9,6892414614,61121444.79,1047541259,566937799.5,8645334174
2011,7,1,265,164.66,0,25945907.46,3878708671,19651128.04,722261658.2,642156928.8,5288724294
2018,5,1,633,393.33,0,31107068.29,8476415669,29266014.3,1810332697,1244282801,11591404250
2009,11,3,340.6,211.64,262022.6005,12286984.32,1878404710,9579530.852,319014614,177990911.5,2397276751
2015,2,3,589.3,366.17,1551840.09,21374981.36,3597897197,12942723.26,712099264,600587885.9,4944902052
2014,11,2,2.4,1.49,0,149378.5033,30551526.32,218541.1907,3953327.946,660669.4976,35533443.46
1996,1,4,3879.448,2410.58,36854897.4,104031914.9,6991524378,85987631.61,843235927.8,389612846,8414392699
1999,7,1,264.1,164.1,0,37440270.07,3729145569,26519962.79,557605572.2,630932100.9,4981643475
2012,4,4,2614.59,1624.63,11517419.78,33057322.5,3793355823,50605427.54,618419938.6,147972531.9,4643411044
2003,5,6,30193.9275,18761.64,192011410.9,112970472.1,7535380035,130135841.2,1056632972,182508876.2,9017628196
2013,5,6,30376.94297,18875.36,205037770.6,89599099.63,7922178034,113651044.6,1311570268,121328050.5,9558326496
1994,10,2,6.895,4.28,0,730538.6543,120966639.8,1714701.145,17517551.87,8401889.838,149331321.3
2005,1,6,40674.2,25273.78,197489488.5,190093667.1,6870687293,116715951.5,1190709661,168487951.1,8536694524
2018,2,3,599.7,372.64,1631814.135,22072514.26,3868454705,12221588.11,841091385.1,642399391.5,5386239584
2003,10,4,2923.49,1816.57,24227923.27,77794367.21,6595461083,84760312.77,903203629.6,371274474,8032493866
1993,11,5,1340.9,833.2,5414628.569,7032057.783,731122743.2,17225030.82,88511840.85,22086017.66,865977690.3
2014,5,1,624.6,388.11,0,31690906.72,8456547022,33611014.07,1577569313,1195317979,11294736235
2009,4,4,2617.5,1626.44,11198387.36,38548552.7,3913262247,49058645.95,591752970.5,155098237.5,4747720653
2013,3,4,7481.19,4648.6,25751957.42,48442962.21,5950354224,123257076.8,1011031966,335443523,7468529752
2015,3,3,2793.96,1736.09,3342665.368,45811428.37,4556520044,62969530.79,933273265.9,527578338.9,6126152608
2009,2,1,195.4,121.42,0,11547138.46,2951712446,13524861.37,511029597.5,579921106.7,4067735150
2016,5,5,2011.45,1249.86,26050187.66,26716063.16,1914644114,27260062.84,344368653.5,33719125.46,2346708019
2004,5,2,24.1,14.98,0,984691.1537,201340640.3,742213.9704,29899333.39,14966200.27,247933079.1
1998,1,3,997.318,619.7,4228863.438,33022140.7,3216966987,27891681.33,393434169.5,327303574,3998618553
2001,4,4,2631.39,1635.07,10597148.28,35125985.49,3725765640,51685634.64,459730522.5,170421505.9,4442729288
1995,9,1,605.147,376.02,0,52228918.12,8415566806,80857656.29,1033326511,910825956.4,10492805848
2012,11,3,342.37,212.74,551350.7542,11189894.94,1887677177,10604964.47,320858014.3,172482868.2,2402812918
2006,5,3,337.4,209.65,1110891.456,10680579.17,1212054316,9155595.385,179517505.6,146187269.2,1557595265
1994,3,6,40703.8,25292.17,100113462.4,36281242.54,4625029826,111428010.4,587951985.4,133661293,5494352357
2000,6,4,1396,867.43,92412753.07,181386780.8,5880082205,161583795.2,780021810.2,231017875.8,7234092467
2001,11,3,437.5,271.85,599889.7688,13617014.14,1932968668,14042196.07,253704196.2,207503747.5,2421835822
2007,2,5,2031,1262,12904026.49,24887928.35,1349038195,18828596.07,288070091.2,67147149.05,1747971960
1997,2,6,24909.5,15478.05,158551558.9,67463513.08,4921330057,87612716.73,641821760.9,152680222.5,5870908271
2008,7,5,3250.6,2019.83,22952009.13,35801730.22,2257917907,28049876.08,524264114.5,84476287.06,2930509915
1998,2,1,192.102,119.37,0,12064763.03,2623587142,25108935.69,357719462.7,613491546.9,3631971850
1999,6,3,319.7,198.65,10478119.03,89018037.16,3276261064,36311646.86,460464888.2,193794964.3,4055850600
1996,5,4,3130.847,1945.42,51305798.51,62737821.12,7597010143,146533198.6,868514912.3,362595151.2,9037391226
1998,10,3,837.898,520.65,3765770.401,22190858.51,2880564523,22154487.17,415022119.6,348005768.8,3687937757
2011,10,4,3107.4,1930.85,25733758.29,60875155.34,7083718090,78975943.3,1119209704,356142828.7,8698921722
2009,5,2,21.3,13.24,0,945531.2227,208161567.7,1086306.284,28871905.88,13649352.16,252714663.2
2015,5,2,21.7,13.48,0,808783.0675,215924934.2,713450.4071,38751526.24,11762767.44,267961461.3
2018,6,4,1745.5,1084.6,213075611.3,263043701.7,8154837104,243254587,1663120925,375288367,10699544684
2016,9,1,644,400.16,0,67900277.68,11079690207,52946415.55,2081554728,1287787231,14569878859
2019,1,5,3288.152,2043.16,28659955.72,51395994.48,2835552780,16221231.73,666454501.5,58153059.2,3627777567
1998,11,4,1311.913,815.18,11432793.73,19195413.78,2837250206,50124406.59,369304910.6,139796550,3415671487
1994,2,6,24754.2,15381.55,153448237.3,66909871.35,4791054616,76301275.55,579854897.4,149357750.7,5663478411
2005,3,1,386.49,240.15,0,10764481.74,2867569466,24089849.4,435967048.9,483532957.6,3821923803
1997,9,3,864.351,537.08,4189610.177,50949831.11,5092925446,38877377.37,643951163.3,464172649.8,6290876468
2003,8,4,2797.31,1738.17,38004644.31,83910997.12,6483296322,92269175.61,876429657.6,341495656.5,7877401809
2006,1,6,41408,25729.74,203073514.8,177251438.9,7119076868,121279174.4,1241022166,168929844.9,8827559492
2007,7,4,3129.11,1944.34,33280802.99,91991605.83,8007473237,75200388.82,1318710165,537476071.7,10030851469
2007,5,6,30287.6,18819.84,172269836,120058052.3,7453084328,134740226.9,1189243867,159599418.6,9056725893
2012,3,3,2802.86,1741.62,3623981.48,42013954.25,4537829367,60686976.36,834155513.5,518551286.4,5993237097
2004,11,3,404.1,251.1,308088.3888,12358331.1,1921923459,12278574.25,281319449,200149086.2,2428028900
2017,4,5,3002.71,1865.8,8060139.469,16413984.89,1511353998,13194454.37,357423996,38127186.46,1936513619
2018,11,5,1346.15,836.46,5017682.27,8346795.095,904562118.3,11113710.15,143609098.1,13561330.55,1081193052
1998,4,5,2987.8,1856.53,8055456.136,11717196.57,1073687167,22276778.61,195389550,42932399.79,1346003092
2016,8,6,26397.67,16402.75,218627573.2,100996812.5,7425454699,87149031.77,1512867442,106358068.7,9232826055
2014,7,4,3114.62,1935.34,42278934.49,85329638.72,8106185213,74083027.73,1503308105,462403872.1,10231309857
2015,1,2,0,0,0,0,0,0,0,0,0
2008,8,2,3.5,2.17,0,270745.72,36077680.22,665186.1877,6657410.97,1124123.494,44795146.59
1997,11,3,441.337,274.23,624884.425,8831275.352,1771835604,11801327.12,239802857.6,193046836.5,2225317901
1998,9,4,4302.909,2673.7,66134904.66,147831916,11925834352,124000820.8,1471094573,505758325.8,14174519988
2019,5,5,2020.711,1255.61,29703906.86,25196935.79,2088999952,27535468,405733612.7,32979704.96,2580445673
2016,11,1,55.6,34.55,0,1654858.203,514482984.8,1828075.355,106075036.3,71633112.9,695674067.6
2007,9,5,3125,1941.78,25829626.16,47213315.82,2703055860,31442575.82,520437311,77417214.21,3379566277
1998,3,1,360.59,224.06,0,7850782.058,2393923346,25599035.38,330339986.4,393881581.6,3151594731
2003,6,6,12419.1305,7716.89,170992052.6,154509211.1,4909630514,85409825.63,712191699.4,94949752.51,5956691002
2014,6,1,60.1,37.34,0,9956938.187,1088861201,7797214.878,222591437.4,139128271.1,1468335062
2004,7,5,3227.5,2005.48,20272801.22,33516438.94,2144161300,29279542.44,460320576.3,82029123.08,2749306981
2018,8,2,3.5,2.17,0,186208.8534,35382917.59,188739.6821,6021508.797,978006.9886,42757381.91
2017,9,5,3079.21,1913.33,27265038.69,52858678.15,3380734715,16034275.47,638478189.9,57939053.76,4146044912
2005,10,6,25976.7,16141.17,162730476.8,107464278.7,7052656990,159425596.8,1152466399,148448107.1,8620461372
2002,7,6,31930,19840.38,344267373.2,143991456.7,8224591582,136784334.1,1219902573,171395656.1,9896665602
2003,1,4,4100.8,2548.12,33015970.33,135808103.3,7781305040,86035995.19,1058551202,399709451,9461409792
1999,8,1,361.8,224.81,0,12315110.38,3466447942,22707470.25,555118615.4,893732089.6,4950321227
2010,5,6,30322.3,18841.4,198708064.5,96704803.3,7317721955,124502839.2,1226401331,136888090.4,8902219019
2009,8,6,26417.3,16414.95,219368009.2,107751569.7,5983893170,106807373.5,1088782619,126164018.7,7413398751
1993,1,4,3874.924,2407.77,38663251.61,101862902.5,6487076818,79240334.57,752491841.4,373331785.5,7794003682
2009,9,1,644,400.16,0,85645442.49,10745805899,62825027.15,1669250550,1157606709,13721133627
1996,4,3,1518.48,943.54,2728153.832,18736776.6,2707782173,25662090.89,384321348.3,277067958.7,3413570348
1997,10,2,4.299,2.67,0,500137.323,75282564.2,1385030.174,12141686.92,5430793.541,94740212.16
2007,11,2,2.4,1.49,0,228614.889,27280514.92,234058.1007,3816870.725,790082.1701,32350140.8
2007,10,1,427,265.33,0,21505857.04,5761935228,30421520.2,994725540.7,1112622012,7921210158
2019,3,3,2952.5,1834.6,4618188.702,50551466.39,5002906792,54978483.22,1090807800,534035838.7,6733280380
