local_authority_id,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
44,1993,2807.121,1744.26,366975035.8,446844249.6
29,1993,1434.16,891.15,1295123244,1538333116
28,1993,900.785,559.72,611245575.2,729185346
43,1993,404.655,251.44,276283498.1,323732295.3
27,1993,1073.343,666.94,657096784.8,803429056.2
52,1993,2008.754,1248.18,409407174,511691702.3
47,1993,548.888,341.06,403051186.7,472802643.2
49,1993,500.946,311.27,250482489.1,292790868.2
32,1993,2701.653,1678.73,1163116003,1408511940
31,1993,2975.149,1848.67,923470105.8,1155676728
3,1993,1768.535,1098.92,1381193337,1662589631
4,1993,1606.709,998.36,1253506410,1547548317
9,1993,1154.031,717.08,217372212.5,264663874.2
10,1993,2405.755,1494.87,524489550.4,639671029.3
11,1993,1590.364,988.21,457711071.7,554203995.5
12,1993,1391.385,864.57,353683623.3,431345230.1
20,1993,1228.844,763.57,701913738.1,853809573.3
26,1993,1171.74,728.09,389669830.7,477318583.8
23,1993,2223.87,1381.85,291316428.9,372204362.8
16,1993,2537.439,1576.69,415273106.9,522718672.9
15,1993,3534.68,2196.35,711143772.9,907027672.8
8,1993,1139.553,708.09,711921897.4,838681188.1
17,1993,847.907,526.86,480107635.2,593388125.2
7,1993,731.795,454.72,504212315.7,599137422.5
18,1993,888.311,551.97,473282625.1,554285243.6
19,1993,1030.444,640.29,1305145061,1524502101
22,1993,1128.724,701.36,871345950.9,1037430637
205,1993,971.526,603.68,494348522.8,585231022.1
24,1993,389.625,242.1,170663935.7,204068471.4
25,1993,460.138,285.92,262335282,307697794.9
13,1993,1572.267,976.96,504373761,646703783.7
6,1993,708.922,440.5,712267237.5,883194135.6
14,1993,5111.701,3176.26,568238134.3,740465433.7
21,1993,324.481,201.62,157962687.9,189909888.1
132,1994,386.39,240.09,290715948.2,347270368.5
170,1994,494.362,307.18,610870275.1,713982366.1
171,1994,676.68,420.47,452895840.2,531134796.5
163,1994,847.676,526.72,675877916.7,811118253.2
164,1994,525.186,326.34,349162711.6,431861641.8
156,1994,543.932,337.98,415793242.5,506562132.1
74,1994,935.295,581.17,1043716363,1306312251
198,1994,551.635,342.77,323810460.7,387803988.5
193,1994,456.929,283.92,293721996,337812554.7
169,1994,715.439,444.55,566842315.3,688295022.7
89,1994,3373.385,2096.12,1327470308,1677410355
131,1994,639.668,397.47,433352403.2,527850279.4
130,1994,1387.219,861.98,592669748.7,808363392.8
202,1994,828.08,514.55,536744970,645176724.2
119,1994,739.304,459.38,819900099,966123421.1
153,1994,778.055,483.46,673608134.7,796969673.4
98,1994,531.874,330.49,233583613.6,302469125.9
188,1994,774.893,481.5,741614254.6,890447072.8
155,1994,3318.247,2061.86,738617478.3,946818792.6
187,1994,981.646,609.97,585244233.1,706085497.6
140,1994,819.251,509.06,617939106.9,742891495.5
115,1994,1027.801,638.65,523294630.6,621389875
144,1994,1106.598,687.61,1040769028,1240399499
183,1994,1106.435,687.51,896344560.9,1073143467
143,1994,1454.973,904.08,1410640305,1739166009
203,1994,787.512,489.34,619083666.4,734592438.9
184,1994,514.775,319.87,298036452.1,348867074.4
182,1994,497.427,309.09,399884479.6,462005061.1
200,1994,502.475,312.22,393198800.3,461306715.7
181,1994,792.19,492.24,723123155.8,875182027
129,1994,868.351,539.57,760479893.7,917425931.9
120,1994,437.36,271.76,376788239.8,446403156.2
127,1994,437.176,271.65,322463864.2,373418297.8
128,1994,560.405,348.22,629991627,792294321.8
64,1994,792.359,492.35,545009950.6,663583071.7
180,1994,438.098,272.22,362910143.5,416607320.1
67,1994,1342.481,834.18,1193912773,1458799772
114,1994,383.18,238.1,326579119.2,381734267.5
112,1994,306.341,190.35,395385413.6,469396972.9
179,1994,679.635,422.31,852295736.6,995351717.8
113,1994,704.679,437.87,808700276.6,952533805.7
191,1994,1139.199,707.87,1053665159,1259112095
136,1994,615.518,382.47,650250106.3,760287241.9
82,1994,438.075,272.21,605862520.4,716659822.3
137,1994,560.135,348.05,543465772.4,638902954.2
199,1994,849,527.54,296562357.7,351639901.1
92,1994,3726.907,2315.79,1579106108,1983494879
116,1994,5068.268,3149.28,1228720869,1563250705
139,1994,7518.392,4671.71,1853008709,2253562655
1,1994,36.125,22.45,944662.5457,1453750.721
68,1994,4607.313,2862.85,2294668831,2811779716
102,1994,5012.946,3114.9,1114162159,1371283099
160,1994,1038.135,645.07,923818179.3,1112478841
86,1994,604.094,375.37,655886778.7,812467865.8
85,1994,1333.748,828.75,1319209185,1559027141
162,1994,792.633,492.52,424048810.6,508642192.7
95,1994,757.283,470.55,686539079.3,874419228
90,1994,764.034,474.75,1037208579,1289477938
56,1994,960.905,597.08,845583841.6,998980323.7
196,1994,726.117,451.19,433617636.1,522522781.3
91,1994,780.753,485.14,758226469.9,903755581.8
75,1994,1089.583,677.04,832710205.5,1021819807
157,1994,553.635,344.01,576374116.4,702638016.5
161,1994,1396.697,867.87,1071809229,1274779528
158,1994,707.139,439.4,546531065.5,680935153.7
192,1994,967.188,600.98,560858565.4,661916086.3
84,1994,1173.452,729.15,752163815.2,886435350.7
194,1994,1137.559,706.85,741186429.4,931008491
79,1994,1635.252,1016.1,1105782766,1443144459
62,1994,1159.564,720.52,946809317.3,1197756334
159,1994,1942.835,1207.22,1184434071,1445903057
172,1994,904.128,561.8,896622975.6,1049287656
173,1994,743.36,461.9,632094465.8,732957219.8
166,1994,525.229,326.36,366489295,432620874.1
94,1994,1124.245,698.57,823018976.7,982689761.8
141,1994,2467.45,1533.2,2970989786,3532443824
152,1994,830.114,515.81,865608503.8,1010099495
189,1994,979.131,608.4,822405313.6,980198060.2
190,1994,860.478,534.68,894704708.3,1110049907
151,1994,834.3,518.41,981173475.7,1181128746
150,1994,830.687,516.16,665034299.1,832299627.1
149,1994,734.319,456.28,588472957.9,703919915.2
195,1994,1864.754,1158.7,1129453980,1347599321
87,1994,1194.613,742.3,646487750.9,812759813.9
197,1994,1870.048,1161.99,1098543418,1381193335
63,1994,2931.464,1821.53,2701960504,3311004530
88,1994,1473.504,915.59,1074202404,1354227644
101,1994,884.333,549.5,884814589,1060483348
174,1994,57.937,36,98061451.13,126321399.9
168,1994,320.458,199.12,282859010.3,347033556.5
57,1994,730.893,454.16,832989314.3,980680167.8
106,1994,527.547,327.8,458947084.7,548246724.8
118,1994,466.601,289.93,486363312.6,572101986.3
176,1994,880.403,547.06,675217977.6,786092522.8
145,1994,278.767,173.22,313874397.9,387473407.2
134,1994,773.67,480.74,709257143.9,831732554.4
147,1994,572.39,355.67,680577629.8,794707150.9
121,1994,580.32,360.59,735151564.2,914920021.4
105,1994,488.914,303.8,558053396.9,682216480.8
122,1994,270.219,167.91,265905505.6,331120262
146,1994,217.845,135.36,292431800.2,359860591.6
165,1994,350.686,217.91,316206236.2,386828100.1
185,1994,461.122,286.53,325156593.6,373808869.3
201,1994,634.835,394.47,691873222.9,864934246.5
66,1994,720.9,447.95,1110120320,1300462224
111,1994,488.122,303.3,861925943.7,1007649427
96,1994,240.509,149.45,240051960.3,303686046.6
110,1994,203.283,126.31,288061984.3,359233495.8
178,1994,333.147,207.01,535448099.3,618598859.5
107,1994,383.567,238.34,461569371.1,569737972.7
104,1994,440.093,273.46,437902493.8,533644891.3
204,1994,364.228,226.32,348990670.7,412877148.1
167,1994,417.301,259.3,425056858.6,536070997.3
124,1994,517.061,321.29,499511863.8,595663332.4
175,1994,403.308,250.6,480054006.5,556242505
103,1994,389.258,241.87,428317615.1,533797132.2
177,1994,412.728,256.46,377078658.1,438477706.4
